id_eleve,serie_cible,math,physique,svt,francais,histoire,aptitude_logique,niveau_motivation,centre_interet,interesse_par_informatique,moyenne_generale
NS11090,LLA,40.18967532083511,56.0,44.0,84.0,58.67602890834,2.0,Très élevée,Lettres et langues,Oui,56.6
NS12111,SES,61.0,52.0,,63.0,64.0,3.0,Très élevée,Sciences et technologie,Non,58.8
NS10203,SES,61.0,59.0,62.0,78.0,88.0,4.0,Très élevée,Économie et société,Oui,69.6
NS12418,SES,,55.0,74.0,75.0,71.0,4.0,Élevée,Sciences et technologie,Non,69.8
NS10152,SES,68.0,57.0,67.0,91.0,86.0,3.0,Très élevée,Sciences et technologie,Oui,73.8
NS12901,SMP,67.0,67.0,69.0,63.0,55.0,4.0,Élevée,Sciences et technologie,Non,64.2
NS11359,LLA,59.0,39.0,50.0,83.0,88.0,,Élevée,Lettres et langues,Non,63.8
NS10772,SES,58.0,29.0,77.0,74.0,81.0,3.0,Élevée,Économie et société,Non,63.8
NS12678,SES,81.0,63.0,83.0,68.0,76.0,3.0,Élevée,Économie et société,Non,74.2
NS11001,SMP,63.0,69.0,56.0,47.0,75.0,5.0,Très élevée,Sciences et technologie,Oui,62.0
NS10718,SES,68.0,56.0,71.0,79.0,84.0,2.0,Très élevée,Sciences et technologie,Non,71.6
NS10612,LLA,45.0,45.49752316252496,69.0,96.7849289326455,75.0,3.0,Très élevée,Lettres et langues,Non,66.3
NS10842,SMP,71.0,84.0,55.0,44.0,62.0,5.0,Très élevée,Sciences et technologie,Oui,63.2
NS10266,SVT,72.0,68.0,81.0,69.0,71.0,3.0,Élevée,Santé et environnement,Oui,72.2
NS10051,SVT,65.0,70.0,87.0,70.0,53.0,3.0,Très élevée,Santé et environnement,Non,69.0
NS11195,LLA,65.88597242683257,47.22660441036022,55.0,83.0,76.0,3.0,Très élevée,Lettres et langues,Non,65.4
NS11270,SES,71.0,66.0,68.0,62.0,77.0,3.0,Élevée,Économie et société,Non,68.8
NS11491,SVT,76.0,75.0,91.0,69.0,58.0,3.0,Élevée,Santé et environnement,Oui,73.8
NS11582,SES,70.0,54.0,60.0,79.0,74.0,4.0,Élevée,Sciences et technologie,Non,67.4
NS10521,LLA,56.0,58.0,48.0,100.0,62.0,3.0,Très élevée,Arts et culture,Non,64.8
NS11694,SES,61.0,62.0,54.0,61.0,74.0,3.0,Très élevée,Économie et société,Non,62.4
NS12663,SMP,87.0,82.0,72.0,61.0,67.0,5.0,Très élevée,Informatique,Oui,73.8
NS12748,SES,69.0,63.0,65.0,84.0,70.0,4.0,Élevée,Économie et société,Non,70.2
NS11921,SES,54.0,64.0,,74.0,82.0,3.0,Moyenne,Économie et société,Oui,67.0
NS10102,SES,64.0,57.0,75.0,81.0,85.0,3.0,Très élevée,Économie et société,Oui,72.4
NS10695,LLA,63.0,55.0,57.0,87.0,78.0,3.0,Très élevée,Arts et culture,Non,68.0
NS12332,LLA,65.0,37.0,64.0,87.0,75.0,3.0,Très élevée,Lettres et langues,Non,65.6
NS12724,SVT,73.0,61.0,91.0,69.0,65.0,4.0,Très élevée,Santé et environnement,Non,71.8
NS12272,SMP,85.0,80.0,66.0,69.0,52.0,5.0,Élevée,Informatique,Oui,70.4
NS12482,SVT,72.0,74.0,83.0,74.0,64.0,4.0,Élevée,Santé et environnement,Oui,73.4
NS11842,SES,72.0,64.0,54.0,83.0,87.0,3.0,Très élevée,Sciences et technologie,Non,72.0
NS11830,SVT,79.0,80.0,84.0,84.0,65.0,,Élevée,Santé et environnement,Oui,78.4
NS10794,LLA,55.0,46.0,71.0,85.0,72.0,3.0,Très élevée,Lettres et langues,Non,65.8
NS11820,SES,71.0,69.0,65.0,87.0,71.0,3.0,Très élevée,,Non,72.6
NS12001,LLA,53.0,49.0,51.0,89.0,71.0,2.0,Élevée,Arts et culture,Non,62.6
NS10144,LLA,44.0,62.0,62.0,76.0,83.0,2.0,Très élevée,Arts et culture,Non,65.4
NS12525,SVT,57.0,57.0,81.0,57.0,56.0,4.0,Très élevée,,Oui,61.6
NS11330,LLA,71.0,47.0,80.0,98.0,83.0,2.0,Élevée,Arts et culture,Oui,75.8
NS12477,SES,76.0,54.0,68.0,93.0,88.0,4.0,Très élevée,Sciences et technologie,Oui,75.8
NS12881,SES,64.0,74.0,63.0,89.0,81.0,2.0,Élevée,Économie et société,Non,74.2
NS10321,LLA,62.0,49.0,53.0,76.0,,3.0,Très élevée,Lettres et langues,Non,63.8
NS11261,SES,62.0,52.0,69.0,71.0,59.0,3.0,Élevée,Économie et société,Oui,62.6
NS12414,LLA,57.0,59.4935092623207,71.0,89.00238360508959,75.0,3.0,Très élevée,Arts et culture,Non,70.3
NS11269,SVT,66.0,67.0,74.0,75.0,55.0,3.0,,Santé et environnement,Non,67.4
NS11760,SMP,73.0,76.0,68.0,66.0,62.0,3.0,Faible,Informatique,Oui,69.0
NS10416,LLA,37.0,37.0,36.0,100.0,90.0,2.0,Très élevée,Lettres et langues,Non,60.0
NS12631,LLA,63.7418068191123,,61.93882241899949,81.0,75.0,3.0,Très élevée,Arts et culture,Oui,64.5
NS12291,SVT,66.0,67.0,74.0,73.0,77.0,4.0,Élevée,Sciences et technologie,Non,71.4
NS10174,LLA,37.0,50.0,60.0,84.0,57.0,3.0,Très élevée,Arts et culture,Non,57.6
NS11725,SES,69.0,72.0,61.0,62.0,82.0,3.0,Très élevée,,Oui,69.2
NS12175,SVT,73.0,72.0,100.0,58.0,79.0,4.0,Élevée,Santé et environnement,Oui,76.4
NS10045,SVT,77.0,,77.0,77.0,64.0,4.0,Moyenne,Santé et environnement,Oui,72.6
NS10685,LLA,52.0,39.0,61.0,87.0,68.0,2.0,Très élevée,Lettres et langues,Oui,61.4
NS11607,LLA,50.0,41.0,54.0,77.0,78.0,2.0,Très élevée,Lettres et langues,Non,60.0
NS11231,LLA,43.0,61.0,54.0,92.0,50.0,2.0,Élevée,Arts et culture,Non,60.0
NS10862,SMP,91.0,83.0,67.0,79.0,59.0,4.0,Très élevée,Sciences et technologie,Oui,75.8
NS11965,SES,67.0,46.0,69.0,76.0,70.0,3.0,Élevée,Économie et société,Non,65.6
NS10331,LLA,41.0,38.0,62.0,82.0,86.0,2.0,Très élevée,Lettres et langues,Non,61.8
NS10093,LLA,59.0,58.0,53.0,87.0,71.0,2.0,Très élevée,Lettres et langues,Oui,65.6
NS11641,SMP,77.0,81.0,55.0,56.0,72.0,5.0,Élevée,Sciences et technologie,Oui,68.2
NS12986,SVT,68.0,69.0,79.0,82.0,79.0,4.0,Élevée,Sciences et technologie,Non,75.4
NS10506,SVT,83.0,69.0,100.0,50.0,60.0,2.0,Moyenne,Santé et environnement,Oui,72.4
NS12909,SVT,79.0,72.0,88.0,63.0,65.0,4.0,Élevée,Sciences et technologie,Non,73.4
NS12045,SVT,73.0,69.0,93.0,61.0,72.0,4.0,Élevée,Santé et environnement,Non,73.6
NS10495,LLA,64.0,40.0,44.0,84.0,75.0,3.0,Élevée,Arts et culture,Non,61.4
NS12132,SES,70.0,63.0,57.0,90.0,77.0,4.0,Très élevée,Économie et société,Non,71.4
NS10000,SMP,73.0,86.0,73.0,62.0,67.0,5.0,Très élevée,Sciences et technologie,Oui,72.2
NS10314,LLA,69.0,44.01332858736101,50.0,79.91313079530157,62.0,3.0,Très élevée,Lettres et langues,Non,61.0
NS11272,SMP,80.0,,65.0,71.0,42.0,5.0,Très élevée,Sciences et technologie,Oui,66.2
NS11941,SMP,79.0,89.0,62.0,60.0,58.0,,Élevée,Sciences et technologie,Oui,69.6
NS12967,LLA,72.0,38.0,48.0,88.0,93.0,3.0,,Lettres et langues,Non,67.8
NS11316,SMP,91.0,72.0,61.0,73.0,55.0,5.0,Élevée,Sciences et technologie,Oui,70.4
NS10755,SMP,73.0,88.0,65.0,62.0,52.0,4.0,Très élevée,Sciences et technologie,Oui,68.0
NS11770,SVT,52.0,42.0,68.0,65.0,63.0,4.0,Très élevée,Santé et environnement,Non,58.0
NS11200,SVT,71.0,67.0,100.0,63.0,70.0,4.0,Élevée,Sciences et technologie,Oui,74.2
NS12174,SVT,67.0,64.0,72.0,58.0,58.0,3.0,Très élevée,Santé et environnement,Oui,63.8
NS11991,SMP,92.0,73.87243512653926,68.0,70.25962128910342,71.0,4.0,Très élevée,Informatique,,75.0
NS10879,SVT,71.0,62.0,87.0,49.0,60.0,4.0,Très élevée,Santé et environnement,Non,65.8
NS10765,SVT,79.0,69.0,79.0,70.0,76.0,5.0,Élevée,Santé et environnement,Non,74.6
NS10927,SVT,66.0,60.0,83.0,64.0,77.0,3.0,Élevée,Santé et environnement,Oui,70.0
NS12377,LLA,56.0,,54.0,85.0,80.0,2.0,Très élevée,Lettres et langues,Oui,62.8
NS11374,SVT,73.0,74.02843573806373,81.4314291729147,67.0,,3.0,Élevée,Santé et environnement,Non,73.9
NS11814,SVT,92.0,52.0,71.0,65.0,65.0,3.0,Très élevée,,Non,69.0
NS11798,SMP,77.0,69.0,58.0,67.0,69.0,4.0,Très élevée,Sciences et technologie,Non,68.0
NS10929,SVT,78.0,44.0,77.0,75.0,69.0,4.0,Très élevée,Santé et environnement,Non,68.6
NS10436,LLA,55.0,38.0,58.0,74.0,86.0,2.0,Très élevée,Arts et culture,Non,62.2
NS10196,LLA,53.0,65.0,51.0,83.0,80.0,2.0,Très élevée,Lettres et langues,Non,66.4
NS11762,LLA,59.0,47.0,37.0,89.0,98.0,3.0,Élevée,Arts et culture,,66.0
NS11064,SES,62.0,65.0,54.0,76.0,76.0,3.0,Très élevée,,,66.6
NS12342,SMP,73.0,91.0,69.0,57.0,45.0,3.0,Élevée,Informatique,Oui,67.0
NS12528,SMP,81.69364903465886,81.0,93.49019617642595,57.0,59.0,3.0,Élevée,Sciences et technologie,Oui,74.4
NS11268,LLA,53.0,44.0,65.0,100.0,63.0,4.0,Très élevée,Lettres et langues,Oui,65.0
NS12323,SMP,92.0,72.0,50.0,62.0,42.0,5.0,Très élevée,Informatique,Oui,63.6
NS12779,SMP,93.0,85.0,78.0,,64.0,4.0,Moyenne,Sciences et technologie,Non,76.8
NS12225,LLA,52.09839582174487,49.0,59.06409328660716,91.0,77.0,3.0,Très élevée,Arts et culture,,65.6
NS10450,LLA,58.0,62.0,43.0,90.0,93.0,3.0,Très élevée,Lettres et langues,Oui,69.2
NS12164,SES,52.0,67.0,44.0,69.0,81.0,3.0,Élevée,Sciences et technologie,Non,62.6
NS12372,SMP,79.0,87.0,55.0,67.0,72.0,4.0,Moyenne,Sciences et technologie,Oui,72.0
NS12012,SMP,74.0,74.0,74.0,57.0,63.0,4.0,Élevée,Sciences et technologie,Oui,68.4
NS10270,SMP,82.0,89.0,73.0,69.0,68.0,4.0,Moyenne,Informatique,Oui,76.2
NS11840,SVT,66.0,68.0,83.0,77.0,62.0,4.0,Très élevée,Santé et environnement,Oui,71.2
NS12934,SMP,65.0,71.0,92.0,73.0,73.0,4.0,Moyenne,Sciences et technologie,Oui,74.8
NS10978,SVT,91.0,,88.0,59.0,62.0,5.0,Très élevée,Santé et environnement,Non,73.0
NS12166,SMP,91.0,70.0,62.0,58.0,49.0,4.0,Faible,Informatique,Oui,66.0
NS10354,SMP,74.0,84.0,,50.0,64.0,3.0,Élevée,Sciences et technologie,Non,69.0
NS11876,SMP,94.0,77.0,70.0,59.0,72.0,5.0,Élevée,Sciences et technologie,Oui,74.4
NS10184,SVT,76.0,69.0,93.0,90.0,68.0,3.0,Élevée,Santé et environnement,Non,79.2
NS12744,SVT,70.0,68.0,81.0,59.0,73.0,4.0,Moyenne,Santé et environnement,Non,70.2
NS11614,LLA,63.0,38.0,63.0,81.0,84.0,2.0,Très élevée,Arts et culture,Non,65.8
NS12759,SVT,67.0,59.0,75.0,67.0,60.0,4.0,Très élevée,Sciences et technologie,Oui,65.6
NS11706,SES,59.0,40.0,29.0,74.0,70.0,4.0,Très élevée,Économie et société,Non,54.4
NS11861,SVT,68.0,71.0,94.0,53.0,50.0,3.0,Très élevée,Santé et environnement,Non,67.2
NS10246,SVT,70.0,73.0,83.0,68.0,48.0,3.0,Élevée,,Non,68.4
NS10555,LLA,68.0,52.0,44.0,99.0,79.0,4.0,Élevée,Lettres et langues,Non,68.4
NS11752,SVT,95.0,71.0,52.0,70.0,57.0,2.0,,Santé et environnement,Non,69.0
NS11364,SES,,69.0,55.0,64.0,73.0,3.0,Très élevée,Sciences et technologie,Non,66.6
NS10067,SVT,72.0,,75.0,77.78714011352827,78.68882775933595,4.0,Élevée,Sciences et technologie,Oui,76.5
NS12618,SVT,72.0,66.0,79.0,63.0,64.0,3.0,Élevée,Sciences et technologie,Non,68.8
NS12284,SES,52.0,50.0,67.0,81.0,85.0,3.0,Très élevée,,Non,67.0
NS10532,SMP,83.0,91.0,57.0,68.0,61.0,,Très élevée,Sciences et technologie,Oui,72.0
NS12873,SES,68.0,56.0,57.0,81.0,90.0,2.0,Élevée,Sciences et technologie,Non,70.4
NS12705,SVT,68.0,62.0,76.0,73.0,67.0,3.0,Très élevée,Sciences et technologie,Oui,69.2
NS11502,SVT,63.0,76.0,63.0,49.0,75.0,2.0,Moyenne,Santé et environnement,Oui,65.2
NS10761,LLA,70.0,53.0,58.0,79.0,85.0,2.0,Très élevée,Arts et culture,Non,69.0
NS12752,SES,77.0,60.0,82.0,89.0,89.0,2.0,Élevée,Économie et société,Non,79.4
NS11211,LLA,,75.0,57.0,81.0,83.0,2.0,Très élevée,Lettres et langues,Non,70.4
NS12243,LLA,67.0,66.0,,97.0,68.0,2.0,Élevée,Lettres et langues,Non,70.8
NS11793,LLA,62.0,58.0,62.0,80.0,85.0,2.0,Très élevée,Arts et culture,Non,69.4
NS10535,SMP,84.0,71.0,57.0,70.0,73.0,4.0,Élevée,Informatique,Oui,71.0
NS11746,LLA,56.0,68.0,65.0,94.0,72.0,4.0,Très élevée,Lettres et langues,Oui,71.0
NS10463,SVT,80.0,62.0,91.0,79.0,58.0,4.0,Élevée,Sciences et technologie,Non,74.0
NS12677,SMP,80.0,92.0,60.0,79.0,68.0,5.0,Élevée,Informatique,Non,75.8
NS11839,SVT,81.0,79.89654532365148,86.0,63.085032477645306,63.0,4.0,Très élevée,Santé et environnement,Non,74.6
NS12862,SVT,76.0,61.0,74.0,54.0,57.0,,Faible,Santé et environnement,Oui,64.4
NS10124,SVT,61.0,105.0,96.0,75.0,69.0,3.0,Élevée,Santé et environnement,Oui,72.4
NS10178,LLA,53.0,35.0,59.0,88.0,80.0,4.0,Élevée,,Non,63.0
NS10192,SVT,64.0,74.0,83.0,79.0,69.0,2.0,Élevée,Sciences et technologie,Oui,73.8
NS12307,SMP,88.0,94.0,79.0,71.0,56.0,4.0,Très élevée,,Oui,77.6
NS11429,LLA,55.0,43.0,,,96.0,2.0,Très élevée,Arts et culture,Non,70.6
NS11691,SVT,65.0,59.0,64.0,76.0,63.0,2.0,Très élevée,Santé et environnement,Non,65.4
NS10741,SVT,68.0,50.0,87.0,58.0,62.0,2.0,Moyenne,Santé et environnement,Oui,65.0
NS11034,LLA,65.0,52.0,80.0,91.0,64.0,2.0,Élevée,Lettres et langues,Oui,70.4
NS11966,SMP,94.0,,56.0,68.0,65.0,4.0,Moyenne,Sciences et technologie,Oui,73.2
NS10478,SMP,74.0,81.0,68.0,61.0,53.0,4.0,Très élevée,Sciences et technologie,Non,67.4
NS11027,SMP,86.0,67.0,62.0,72.0,64.0,5.0,Élevée,Informatique,Non,70.2
NS12601,SES,72.0,70.0,69.0,66.0,75.0,4.0,Très élevée,Économie et société,Oui,70.4
NS10368,LLA,56.0,59.0,57.0,97.0,63.0,2.0,Très élevée,Lettres et langues,Non,66.4
NS12523,SES,80.0,51.0,60.0,74.0,,4.0,Très élevée,Sciences et technologie,Non,69.2
NS10845,LLA,84.0,40.0,56.0,81.0,86.0,1.0,Élevée,Arts et culture,Non,69.4
NS10256,SVT,77.0,74.0,96.0,71.0,75.0,3.0,Élevée,Santé et environnement,Non,78.6
NS11222,LLA,75.0,65.0,55.0,81.0,81.0,4.0,Très élevée,Lettres et langues,Non,71.4
NS11992,SES,63.0,49.0,40.0,68.0,,3.0,,Économie et société,Oui,61.6
NS10211,SES,69.0,69.0,52.0,91.0,73.0,3.0,Très élevée,Économie et société,Oui,70.8
NS12689,SVT,73.0,,96.0,71.0,70.0,3.0,Moyenne,Santé et environnement,Non,77.0
NS11949,SES,59.0,46.0,65.0,55.0,94.0,2.0,Très élevée,Sciences et technologie,Non,63.8
NS11362,SMP,93.0,79.0,74.0,67.0,64.0,4.0,Élevée,Sciences et technologie,Oui,75.4
NS12151,SMP,70.0,91.0,62.0,67.0,58.0,,Très élevée,Sciences et technologie,Non,69.6
NS12153,SVT,78.0,68.0,93.0,63.0,65.0,3.0,Très élevée,Sciences et technologie,Non,73.4
NS10567,SES,61.0,54.0,72.0,,73.0,3.0,Très élevée,Sciences et technologie,Oui,65.2
NS12206,SES,78.0,64.0,43.0,65.0,74.0,5.0,Très élevée,Sciences et technologie,Oui,64.8
NS12093,SVT,74.0,78.0,79.0,58.0,61.0,3.0,Élevée,Santé et environnement,Non,70.0
NS11710,SMP,77.0,81.0,66.0,65.0,64.0,4.0,Très élevée,Informatique,Non,70.6
NS11263,SVT,67.0,77.0,88.0,64.0,61.0,,Très élevée,Santé et environnement,Oui,71.4
NS12123,LLA,66.0,42.0,57.0,87.0,67.0,3.0,Très élevée,Arts et culture,Oui,63.8
NS10798,SMP,90.0,88.0,64.0,69.0,61.0,4.0,Très élevée,Sciences et technologie,Oui,74.4
NS10080,SVT,67.0,,72.0,62.0,72.0,2.0,Élevée,Santé et environnement,Oui,67.8
NS10032,LLA,50.0,54.0,52.0,83.0,85.0,2.0,,Lettres et langues,Oui,64.8
NS10414,SVT,63.0,61.0,92.0,50.0,77.0,3.0,Élevée,Sciences et technologie,Non,68.6
NS11804,SVT,62.0,52.0,75.0,72.0,73.0,4.0,Moyenne,Sciences et technologie,Non,66.8
NS12213,SMP,94.0,71.0,64.0,61.0,57.0,3.0,Élevée,Informatique,Non,69.4
NS11321,LLA,48.0,58.0,66.0,82.0,70.0,3.0,Très élevée,Lettres et langues,Non,64.8
NS11567,SMP,59.0,83.0,79.0,82.0,49.0,5.0,Très élevée,Sciences et technologie,Oui,70.4
NS10783,SES,62.0,44.0,57.0,73.0,89.0,4.0,Moyenne,Économie et société,Non,65.0
NS12991,SMP,81.0,74.0,70.0,68.0,70.0,5.0,Moyenne,Sciences et technologie,Oui,72.6
NS11412,SMP,88.0,80.0,75.0,74.0,51.0,,Très élevée,Sciences et technologie,Non,73.6
NS10457,SES,72.0,42.0,72.0,66.0,72.0,4.0,Très élevée,Économie et société,Non,64.8
NS10139,SES,83.19671481054047,46.0,59.0,81.0,87.50154315583282,5.0,Élevée,Sciences et technologie,Non,71.3
NS12230,SES,66.0,69.0,42.0,91.0,75.0,4.0,Élevée,Économie et société,Non,68.6
NS11025,SMP,82.0,70.0,79.0,64.0,53.0,5.0,Élevée,Informatique,Oui,69.6
NS10088,SES,67.0,62.0,62.0,78.0,85.0,3.0,Élevée,Économie et société,Oui,70.8
NS11442,SMP,85.0,62.0,83.0,97.0,62.0,3.0,Élevée,Sciences et technologie,Oui,77.8
NS11831,SES,71.0,,56.0,,89.0,2.0,Élevée,,Oui,67.4
NS12576,SVT,72.0,78.0,81.0,71.0,72.0,3.0,Très élevée,Sciences et technologie,Oui,74.8
NS10254,SES,73.0,44.0,55.0,97.0,73.0,3.0,Très élevée,Sciences et technologie,Oui,68.4
NS10605,SVT,65.0,75.0,91.0,60.0,44.0,3.0,Très élevée,Santé et environnement,Non,67.0
NS11044,LLA,63.0,55.0,,94.0,85.0,1.0,Très élevée,Lettres et langues,Non,72.4
NS10568,SES,55.0,63.0,55.0,81.0,60.0,,Élevée,Sciences et technologie,Non,62.8
NS11732,SMP,79.0,71.0,82.0,65.0,56.0,4.0,Élevée,Informatique,Oui,70.6
NS12542,SVT,78.0,82.0,77.0,61.0,,3.0,Élevée,Santé et environnement,Non,72.2
NS10857,SES,66.0,64.0,47.0,75.0,83.0,3.0,Très élevée,Économie et société,Oui,67.0
NS12472,SVT,72.0,57.0,86.0,65.0,55.0,3.0,Très élevée,Sciences et technologie,Oui,67.0
NS10817,LLA,73.0,56.0,64.0,94.0,88.0,2.0,Élevée,Arts et culture,Oui,75.0
NS12030,SES,58.0,68.0,77.0,65.0,69.0,3.0,Très élevée,Économie et société,Oui,67.4
NS11877,LLA,54.0,59.0,73.0,95.0,68.0,3.0,Très élevée,Arts et culture,Non,69.8
NS10141,SVT,50.0,60.0,83.0,82.0,52.0,4.0,Élevée,Santé et environnement,Oui,65.4
NS10443,SVT,76.0,53.0,84.0,85.0,45.0,3.0,Très élevée,Sciences et technologie,Non,68.6
NS11174,SES,64.0,42.0,58.0,83.0,98.0,1.0,Élevée,Économie et société,Oui,69.0
NS10486,SMP,79.0,74.0,70.0,59.0,51.0,4.0,Élevée,Sciences et technologie,Oui,66.6
NS10881,SES,61.0,76.0,56.0,66.0,96.0,4.0,Élevée,Économie et société,Non,71.0
NS12564,SVT,67.0,74.0,82.0,66.0,53.0,4.0,Élevée,Santé et environnement,Non,68.4
NS11084,SMP,87.0,75.0,63.0,67.0,56.0,5.0,Très élevée,Sciences et technologie,Oui,69.6
NS11299,LLA,41.0,56.0,56.0,79.0,100.0,3.0,Très élevée,Arts et culture,Non,66.4
NS10175,SMP,-10.0,88.0,80.0,70.0,65.0,5.0,Élevée,Sciences et technologie,Oui,78.2
NS11094,SMP,85.0,72.0,74.0,72.0,64.0,5.0,Élevée,Sciences et technologie,Non,73.4
NS12700,LLA,49.0,57.0,69.0,84.0,73.0,3.0,Élevée,Lettres et langues,Oui,66.4
NS12846,LLA,57.0,67.0,38.0,80.0,83.0,2.0,Très élevée,Arts et culture,Oui,65.0
NS11963,SMP,100.0,79.0,74.0,61.0,66.0,5.0,Élevée,Sciences et technologie,Oui,76.0
NS12681,SMP,83.0,87.0,61.0,48.0,52.0,5.0,Élevée,,Non,66.2
NS12097,SMP,77.0,76.0,78.0,78.0,60.0,5.0,Élevée,Sciences et technologie,Oui,73.8
NS12155,SMP,85.0,73.0,55.0,54.0,61.0,5.0,Élevée,Sciences et technologie,Oui,65.6
NS11556,SMP,71.0,96.0,56.0,57.0,55.0,5.0,Très élevée,Sciences et technologie,Non,67.0
NS11670,SMP,89.0,64.0,59.0,62.0,58.0,4.0,Moyenne,Sciences et technologie,Non,66.4
